id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
1417489661346385920,markflowchatter,2021-07-20 15:20:45 BST,+0100,62562916,"Action on $FEYE and $MSFT ,on deck @ 10.30ET , before the House Energy &amp; Commerce Committee on ransomware",[],[],0,0,3,[],False,
1417485789030756359,markflowchatter,2021-07-20 15:05:22 BST,+0100,62562916,"For tonite * $MRNA  52M Shares to BUY, Net Flow Expected (S&amp;P 500 Addition)    $CHPT:  370,000 Shares to BUY,  Net Flow Expected (Russell 1000 Increase)",[],[],0,1,6,[],False,
1413089016317100032,markflowchatter,2021-07-08 11:54:10 BST,+0100,62562916,Recently trade journal CNET posted a note about AT&amp;T using RCS-based Google messages as the default messaging app. AT&amp;T is also using Google for message encryption. We believe that news is likely a sign that AT&amp;T will also use software infrastructure from Google and not $SNCR.,[],[],0,0,3,[],False,
1405883221951254534,markflowchatter,2021-06-18 14:40:54 BST,+0100,62562916,"Even the Fear &amp; Greed Index is broken   market at record highs and ""FEAR"" in the air?  WTF, oh thats right its CNN, shoulda known   https://t.co/8yLj5uF7n7  $SPY",[],['https://money.cnn.com/data/fear-and-greed/'],2,0,1,[],False,
1402599055230971920,markflowchatter,2021-06-09 13:10:48 BST,+0100,62562916,"Credit Suisse note out on $CLNE , Reit Outperform and $20 price tgt , commenting ""Because of the warrants AMZN is incentivized to  purchase more RNG from $CLNE. $AMZN is not just a customer, like TOTAL, now it's a  partner of $CLNE""",[],[],0,2,8,[],False,
1400212753328054272,markflowchatter,2021-06-02 23:08:29 BST,+0100,62562916,Look who's back   Donald Trump account appears to have been reactivated on Facebook and Instagram platforms Link:  https://t.co/LzxtxwMfsz -,[],['https://www.facebook.com/DonaldTrump/'],2,1,11,[],False,
1387362488325492737,markflowchatter,2021-04-28 12:06:07 BST,+0100,62562916,"Apple trims AirPods production plans as sales lose steam  Wireless earphones face heated competition from Samsung, Xiaomi and others  $AAPL    https://t.co/bkZtiBy85c",[],['https://asia.nikkei.com/Business/Technology/Apple-trims-AirPods-production-plans-as-sales-lose-steam'],0,0,3,[],False,
1384583790186668034,markflowchatter,2021-04-20 20:04:34 BST,+0100,62562916,"Raymond James on $AAPL event. We see AirTags as a several billion dollar revenue opportunity., we  wouldn’t be surprised to see AirTags grow to be a $10 billion business over time, putting  that product close to AirPods in terms of revenue impact.",[],[],0,0,3,[],False,
1384574092666458112,markflowchatter,2021-04-20 19:26:02 BST,+0100,62562916,"Dan Ives/Wedbush on $AAPL event: Recap of Apple Launch New iPads Front and Center Along With Other M1 Products $AAPL remains a Top Pick w $175 price target. While chip shortages linger, we believe $AAPL has a yellow brick road of growth ahead  The Tinman &amp; Dorothy would be proud",[],[],2,14,48,[],False,
1382280609175896066,markflowchatter,2021-04-14 11:32:33 BST,+0100,62562916,–  Apple. Adding to Tactical Outperform List at Evercore  $AAPL,[],[],0,1,2,[],False,
