,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-03 17:04:04,Eminence Capital boosts Formula One position   $FWONK $FWONA,0,1,0,0,0,1,0.9398969,0.017114159,0.042988937,Pos,0.9227827,marketfolly
1,2018-03-30 15:45:00,Talks about a lot of Fintwit favs. $MA $V $BKNG $MCO $GOOG $CBG  ,0,0,0,0,1,8,0.07351786,0.020621913,0.9058602,Neu,0.05289595,marketfolly
2,2018-03-29 21:27:01,"If you care about Time Warner / AT&T etc,  has been tweeting a lot of testimony. $TWX $T",1,1,0,0,0,3,0.03465241,0.035361893,0.9299857,Neu,-0.00070948526,marketfolly
3,2018-03-29 21:25:04, Concern about pricing pressure or power? Some competitors offer the exact same registrar/privacy protection at much cheaper rates. Maybe they’re just not as top of mind?,0,1,0,0,0,0,0.039573595,0.0869578,0.8734686,Neu,-0.047384202,marketfolly
4,2018-03-28 17:57:00,What we’re reading  ,0,1,0,0,0,3,0.051450677,0.028725728,0.9198236,Neu,0.022724949,marketfolly
5,2018-03-28 17:06:05,Bill Ackman / Pershing Square 2017 annual report: already sold Nike & rationale for covering Herbalife short   $NKE $HLF $ADP $HHC $MDLZ $PAH $FNMA $QSR $CMG,1,1,0,0,1,5,0.2006844,0.014837677,0.78447795,Neu,0.18584672,marketfolly
6,2018-03-27 18:19:01,"And lastly, Tiger Global filed a Form 4 showing they bought a small amount of $APO shares  ",1,1,0,0,0,0,0.040999528,0.04680457,0.91219586,Neu,-0.0058050416,marketfolly
7,2018-03-27 18:18:02,Also Larry Robbins’ Glenview Capital recently boosted their position size in Newell Brands   $NWL joining a slew of other holders,1,1,0,0,1,3,0.9467485,0.01216419,0.041087378,Pos,0.9345843,marketfolly
8,2018-03-27 18:17:04,Catching up on recent transactions: Bruce Berkowitz’s Fairholme Capital reduces Heritage Growth Properties position   $SRG,1,1,0,0,0,0,0.22854522,0.009929497,0.76152533,Neu,0.21861573,marketfolly
9,2018-03-23 19:52:00, Yeah just trying to highlight things others might find relevant/interesting. Let me know if there’s other things worth drawing attention to.,0,1,1,1,0,0,0.043053363,0.034887586,0.922059,Neu,0.008165777,marketfolly
10,2018-03-21 17:46:03,Latest edition of “what we’re reading”  ,0,1,0,1,2,3,0.06427153,0.022353657,0.91337484,Neu,0.041917875,marketfolly
11,2018-03-20 15:48:01,Jeff Ubben’s ValueAct Capital increases Trinity Industries exposure   $TRN,1,1,0,0,0,0,0.09259971,0.015344152,0.89205617,Neu,0.07725556,marketfolly
12,2018-03-20 15:27:03,"Senator Investment Group goes activist on $GOGO, files 13D  ",0,1,0,0,1,0,0.048501614,0.08241705,0.8690814,Neu,-0.033915434,marketfolly
13,2018-03-16 16:33:02,"Aggregated some interesting hedge fund links you might’ve missed on DE Shaw, Tudor, Coatue, Viking & more  ",1,0,1,0,2,7,0.08592533,0.013891854,0.9001828,Neu,0.07203348,marketfolly
14,2018-03-16 16:22:02,"Chris Hohn’s TCI Fund goes activist on Altaba, calls for liquidation   $AABA $BABA",0,1,0,0,1,3,0.056491546,0.28661123,0.65689725,Neu,-0.23011968,marketfolly
15,2018-03-15 16:41:03,ValueAct Capital reduces Armstrong World Industries exposure   $AWI,0,1,0,0,0,0,0.37142414,0.5508464,0.07772943,Neg,-0.17942226,marketfolly
16,2018-03-13 17:16:05,Eminence Capital orders more Papa Johns Pizza   $PZZA,0,0,0,0,1,1,0.66195464,0.027186558,0.31085882,Pos,0.63476807,marketfolly
17,2018-03-12 17:27:02,Viking Global discloses US Steel position    $X,0,1,0,0,0,2,0.064927116,0.018457772,0.9166151,Neu,0.046469346,marketfolly
19,2018-03-08 18:43:01,What We’re Reading this week  ,0,1,0,0,2,6,0.030510584,0.037893474,0.931596,Neu,-0.00738289,marketfolly
20,2018-03-07 18:37:02,Tiger Global ups TransDigm Group stake   $TDG,0,0,0,0,0,1,0.051165562,0.014172275,0.93466216,Neu,0.036993288,marketfolly
21,2018-03-06 16:56:00,Lone Pine Capital takes stake in Exact Sciences   $EXAS,0,1,0,0,1,5,0.042509552,0.015977992,0.94151247,Neu,0.02653156,marketfolly
23,2018-03-01 20:33:04,"  Right, of course. Mainly just trying to gauge what the new consensus ‘baseline’ seems to be & if there’s innovative structures gaining attn",1,1,0,0,0,0,0.12524724,0.00968433,0.8650684,Neu,0.11556291,marketfolly
24,2018-03-01 20:10:04,"Most common response thus far: around 1.5/20 w/ 1 yr lock. Any other structures you’ve seen? DMs still open, thanks!  ",1,1,0,1,1,2,0.15444738,0.026698869,0.81885374,Neu,0.1277485,marketfolly
